Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Address,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Completion Date,Purchaser Address Indicator,Postal Code,Postal District,Postal Sector,Planning Region,Planning Area
THE GARDEN RESIDENCES,"2,270,500","1,539.25","1,475",05 Dec 2020,5 SERANGOON NORTH VIEW #13-28,New Sale,Strata,143,"15,878",-,Apartment,1,99 yrs from 30/10/2017,Uncompleted,Private,554345,19,55,North East Region,Serangoon
THE GARDEN RESIDENCES,"2,285,700","1,539.25","1,485",05 Dec 2020,5 SERANGOON NORTH VIEW #14-28,New Sale,Strata,143,"15,984",-,Apartment,1,99 yrs from 30/10/2017,Uncompleted,Private,554345,19,55,North East Region,Serangoon
THE GARDEN RESIDENCES,"1,582,000",904.18,"1,750",05 Dec 2020,9 SERANGOON NORTH VIEW #07-39,New Sale,Strata,84,"18,833",-,Apartment,1,99 yrs from 30/10/2017,Uncompleted,Private,554347,19,55,North East Region,Serangoon
THE JOVELL,"818,700",635.08,"1,289",05 Dec 2020,13 FLORA DRIVE #06-13,New Sale,Strata,59,"13,876",-,Condominium,1,99 yrs from 08/03/2018,Uncompleted,HDB,506853,17,50,East Region,Pasir Ris
THE JOVELL,"1,042,000",904.18,"1,152",05 Dec 2020,17 FLORA DRIVE #03-23,New Sale,Strata,84,"12,405",-,Condominium,1,99 yrs from 08/03/2018,Uncompleted,HDB,506855,17,50,East Region,Pasir Ris
WHISTLER GRAND,"819,200",505.91,"1,619",05 Dec 2020,109 WEST COAST VALE #23-13,New Sale,Strata,47,"17,430",-,Apartment,1,99 yrs from 07/05/2018,Uncompleted,HDB,126752,05,12,West Region,Clementi
PIERMONT GRAND,"1,500,930","1,528.49",982,05 Dec 2020,30 SUMANG WALK #10-17,New Sale,Strata,142,"10,570",-,Executive Condominium,1,99 yrs from 04/06/2018,Uncompleted,N.A,828620,19,82,North East Region,Punggol
PIERMONT GRAND,"1,037,100",871.88,"1,189",05 Dec 2020,46 SUMANG WALK #11-52,New Sale,Strata,81,"12,804",-,Executive Condominium,1,99 yrs from 04/06/2018,Uncompleted,N.A,828628,19,82,North East Region,Punggol
TREASURE AT TAMPINES,"1,415,000","1,033.34","1,369",05 Dec 2020,27 TAMPINES LANE #07-93,New Sale,Strata,96,"14,740",-,Condominium,1,99 yrs from 29/11/2018,Uncompleted,Private,528472,18,52,East Region,Tampines
TREASURE AT TAMPINES,"1,289,000",914.94,"1,409",05 Dec 2020,49 TAMPINES LANE #11-166,New Sale,Strata,85,"15,165",-,Condominium,1,99 yrs from 29/11/2018,Uncompleted,Private,528461,18,52,East Region,Tampines
THE ANTARES,"1,204,920",656.6,"1,835",05 Dec 2020,23 MATTAR ROAD #06-22,New Sale,Strata,61,"19,753",-,Apartment,1,99 yrs from 14/08/2018,Uncompleted,HDB,387730,14,38,Central Region,Geylang
PARC CLEMATIS,"1,611,000",990.29,"1,627",05 Dec 2020,8D JALAN LEMPENG #23-43,New Sale,Strata,92,"17,511",-,Apartment,1,99 yrs from 08/08/2019,Uncompleted,N.A,128826,05,12,West Region,Clementi
PARC CLEMATIS,"1,181,500",688.9,"1,715",05 Dec 2020,8E JALAN LEMPENG #19-55,New Sale,Strata,64,"18,461",-,Apartment,1,99 yrs from 08/08/2019,Uncompleted,N.A,128827,05,12,West Region,Clementi
AVENUE SOUTH RESIDENCE,"1,508,000",688.9,"2,189",05 Dec 2020,11 SILAT AVENUE #39-35,New Sale,Strata,64,"23,563",-,Apartment,1,99 yrs from 14/08/2018,Uncompleted,HDB,168877,03,16,Central Region,Bukit Merah
KI RESIDENCES AT BROOKVALE,"1,629,000",936.47,"1,740",05 Dec 2020,10 BROOKVALE DRIVE #09-17,New Sale,Strata,87,"18,724",-,Condominium,1,999 yrs from 23/03/1885,Uncompleted,N.A,599977,21,59,West Region,Clementi
KI RESIDENCES AT BROOKVALE,"1,613,000",936.47,"1,722",05 Dec 2020,10 BROOKVALE DRIVE #07-17,New Sale,Strata,87,"18,540",-,Condominium,1,999 yrs from 23/03/1885,Uncompleted,Private,599977,21,59,West Region,Clementi
KI RESIDENCES AT BROOKVALE,"1,573,000",936.47,"1,680",05 Dec 2020,10 BROOKVALE DRIVE #05-18,New Sale,Strata,87,"18,080",-,Condominium,1,999 yrs from 23/03/1885,Uncompleted,Private,599977,21,59,West Region,Clementi
KI RESIDENCES AT BROOKVALE,"1,677,000",936.47,"1,791",05 Dec 2020,10 BROOKVALE DRIVE #11-18,New Sale,Strata,87,"19,276",-,Condominium,1,999 yrs from 23/03/1885,Uncompleted,Private,599977,21,59,West Region,Clementi
KI RESIDENCES AT BROOKVALE,"1,629,000",936.47,"1,740",05 Dec 2020,10 BROOKVALE DRIVE #09-18,New Sale,Strata,87,"18,724",-,Condominium,1,999 yrs from 23/03/1885,Uncompleted,HDB,599977,21,59,West Region,Clementi
KI RESIDENCES AT BROOKVALE,"2,174,000","1,173.28","1,853",05 Dec 2020,10 BROOKVALE DRIVE #09-19,New Sale,Strata,109,"19,945",-,Condominium,1,999 yrs from 23/03/1885,Uncompleted,N.A,599977,21,59,West Region,Clementi
KI RESIDENCES AT BROOKVALE,"2,659,000","1,474.67","1,803",05 Dec 2020,10 BROOKVALE DRIVE #04-20,New Sale,Strata,137,"19,409",-,Condominium,1,999 yrs from 23/03/1885,Uncompleted,HDB,599977,21,59,West Region,Clementi
KI RESIDENCES AT BROOKVALE,"2,827,000","1,474.67","1,917",05 Dec 2020,10 BROOKVALE DRIVE #11-20,New Sale,Strata,137,"20,635",-,Condominium,1,999 yrs from 23/03/1885,Uncompleted,Private,599977,21,59,West Region,Clementi
KI RESIDENCES AT BROOKVALE,"2,731,000","1,474.67","1,852",05 Dec 2020,10 BROOKVALE DRIVE #07-20,New Sale,Strata,137,"19,934",-,Condominium,1,999 yrs from 23/03/1885,Uncompleted,Private,599977,21,59,West Region,Clementi
KI RESIDENCES AT BROOKVALE,"2,743,000","1,474.67","1,860",05 Dec 2020,10 BROOKVALE DRIVE #08-20,New Sale,Strata,137,"20,022",-,Condominium,1,999 yrs from 23/03/1885,Uncompleted,N.A,599977,21,59,West Region,Clementi
KI RESIDENCES AT BROOKVALE,"2,683,000","1,474.67","1,819",05 Dec 2020,10 BROOKVALE DRIVE #06-20,New Sale,Strata,137,"19,584",-,Condominium,1,999 yrs from 23/03/1885,Uncompleted,Private,599977,21,59,West Region,Clementi
KI RESIDENCES AT BROOKVALE,"2,644,000","1,474.67","1,793",05 Dec 2020,10 BROOKVALE DRIVE #05-20,New Sale,Strata,137,"19,299",-,Condominium,1,999 yrs from 23/03/1885,Uncompleted,Private,599977,21,59,West Region,Clementi
